,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0.7516754756871034,0.4043895348837209,0.3729756871035942,0.40508192389006376,0.3608509513742071,0.7213107822410147,0.3611257928118393,0.3626347780126851,0.38191331923890076,0.8261046511627907,0.3507980972515858,0.343247885835095,0.35344344608879524
K,0.43613107822410163,0.6159513742071886,0.31074524312896407,0.3033403805496828,0.29809196617336137,0.6077563424947148,0.260605179704017,0.2814852008456659,0.2997383720930234,0.8085200845665962,0.27245243128964053,0.2634936575052856,0.27250264270613106
Q,0.37895348837209314,0.3098731501057081,0.548036469344609,0.24970665961945038,0.27328488372093007,0.566075581395349,0.23924418604651174,0.24335095137420734,0.22859143763213552,0.8227219873150107,0.21005021141649038,0.22557346723044394,0.22574788583509509
J,0.3750819238900637,0.29881871035940827,0.28653276955602536,0.4799603594080341,0.18983086680761094,0.49607293868921787,0.19791754756871033,0.19072410147991548,0.17672304439746295,0.7960597251585633,0.14989429175475683,0.191424418604651,0.15554968287526422
T,0.39543604651162817,0.2988768498942918,0.24619450317124733,0.18733350951374184,0.4610174418604655,0.45457980972515855,0.15985200845665953,0.15496564482029587,0.1493604651162791,0.8167943974630018,0.1413609936575052,0.12395084566596189,0.1230285412262156
9,0.6755840380549683,0.6108800211416493,0.5215803382663851,0.47261892177589865,0.44001057082452455,0.9600739957716722,0.4492362579281183,0.42305761099365724,0.4344423890063425,0.9635676532769536,0.44524048625792817,0.42995243128964084,0.4514957716701906
8,0.3438345665961947,0.2853091966173362,0.23206395348837208,0.19890327695560253,0.1641992600422833,0.45451638477801276,0.3808298097251584,0.22334566596194502,0.20773255813953515,0.810005285412262,0.10568446088794921,0.11138213530655384,0.09774841437632135
7,0.350362050739958,0.27709038054968305,0.20683932346723022,0.1619978858350951,0.14628699788583513,0.40189746300211415,0.23204281183932346,0.35048625792811855,0.23016120507399573,0.8151585623678647,0.09246828752642708,0.11208245243128961,0.10939746300211411
6,0.37491543340380573,0.311358350951374,0.20986522198731497,0.1721353065539112,0.14097780126849893,0.44086680761099345,0.20718816067653287,0.21298361522198728,0.3485940803382666,0.8298546511627906,0.12418868921775893,0.11766120507399565,0.11371564482029597
5,0.8055364693446091,0.814104122621565,0.8257822410147998,0.8237420718816069,0.7913689217758982,0.9634963002114141,0.8260914376321351,0.8086680761099365,0.8212209302325583,0.997732558139534,0.7872780126849892,0.7993631078224106,0.766408562367865
4,0.3772542283298097,0.2659672304439748,0.20829016913319232,0.18269556025369973,0.12911733615221982,0.4263504228329809,0.10359672304439733,0.1155628964059196,0.12729651162790692,0.7973176532769556,0.30793604651162787,0.11425739957716695,0.1018393234672304
3,0.3549392177589853,0.3032108879492602,0.2022198731501058,0.172299154334038,0.13248678646934456,0.4451453488372096,0.08340909090909081,0.1074973572938688,0.12418604651162783,0.8136522198731503,0.13207452431289637,0.28377114164904854,0.10948467230443973
2,0.3703831923890064,0.24160940803382672,0.18971458773784355,0.15824788583509508,0.13362843551797032,0.428723572938689,0.10350422832980971,0.09256606765327687,0.11123150105708249,0.8147330866807617,0.11920983086680764,0.10495771670190272,0.2578646934460888
