,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0.6033350951374207,0.28456659619450325,0.2994027484143762,0.2881950317124734,0.5806342494714588,0.2577721987315011,0.2710597251585623,0.5805602536997889,0.24934989429175453,0.5615063424947148,0.25619186046511616,0.2342441860465115,0.23774841437632108
K,0.3046987315010569,0.4879809725158559,0.22610993657505277,0.26077431289640596,0.4945190274841434,0.2314164904862578,0.22045718816067658,0.484217758985201,0.21089587737843538,0.49275105708245215,0.19989429175475668,0.16628435517970405,0.14765063424947136
Q,0.2825079281183932,0.23505549682875254,0.4531923890063426,0.19939746300211417,0.46715644820295993,0.192975687103594,0.17764799154334032,0.4476585623678646,0.1522727272727273,0.40218287526427055,0.14824788583509513,0.13339323467230443,0.1349603594080337
J,0.2825872093023255,0.23760042283298102,0.19344344608879482,0.3863319238900634,0.41647727272727264,0.24677589852008464,0.24166754756871037,0.3986152219873152,0.1260359408033826,0.38396405919661736,0.12802325581395338,0.12232029598308665,0.1074154334038055
T,0.589217758985201,0.5204413319238899,0.43561839323467233,0.40506871035940784,0.8161575052854125,0.3792785412262156,0.3888451374207186,0.6337182875264272,0.41093287526427047,0.6601691331923897,0.3920692389006345,0.3654809725158564,0.33901691331923905
9,0.251419133192389,0.21522727272727263,0.17834038054968285,0.24110200845665947,0.39013742071881624,0.33374207188160687,0.3319344608879492,0.3604704016913319,0.21224365750528534,0.32858879492600446,0.09971723044397461,0.11294926004228323,0.09133192389006341
8,0.2694423890063424,0.20490221987315002,0.17829281183932338,0.2691701902748414,0.4048097251585624,0.3342071881606767,0.3337869978858351,0.36244714587737836,0.30452959830866805,0.3175369978858351,0.19453752642706143,0.0973123678646934,0.08735200845665958
7,0.5993631078224102,0.5016728329809724,0.39701374207188167,0.3896538054968287,0.6389561310782245,0.34975951374207176,0.3558430232558139,0.8177034883720933,0.3155470401691334,0.6177114164904866,0.32977536997885865,0.3026585623678646,0.3114561310782244
6,0.2476982029598308,0.214870507399577,0.15701902748414376,0.11542811839323458,0.3691331923890061,0.21131871035940797,0.30169133192389025,0.3397674418604653,0.26714323467230444,0.3351717758985202,0.2927721987315012,0.19058668076109928,0.08258985200845669
5,0.5584619450317124,0.4821696617336154,0.41818710359408046,0.3726453488372094,0.6298942917547568,0.3172489429175474,0.3423652219873152,0.5982795983086682,0.29885306553911195,0.79688689217759,0.3081606765327695,0.2769212473572941,0.26871564482029614
4,0.27397991543340344,0.1864719873150104,0.16470137420718806,0.1310967230443974,0.3868578224101483,0.10612050739957717,0.19767177589851992,0.30727801268498967,0.3009117336152222,0.2904862579281183,0.24204809725158566,0.17722251585623675,0.08421511627906975
3,0.22813953488372093,0.17968816067653282,0.15797568710359403,0.1250396405919663,0.36404069767441866,0.12105708245243124,0.09343816067653264,0.31657241014799165,0.18939746300211407,0.2842758985200846,0.1816146934460887,0.20409090909090918,0.06698202959830865
2,0.24888742071881617,0.1821538054968287,0.14000792811839324,0.09532241014799152,0.35059989429175475,0.09971194503171248,0.08833773784355171,0.29378171247357315,0.08563689217758987,0.24711152219873164,0.08160676532769552,0.07544133192389,0.20150105708245253
