,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0.6408615221987312,0.3122621564482028,0.28216701902748403,0.2994556025369979,0.61865221987315,0.2704624735729386,0.2835015856236785,0.5901902748414377,0.2907584566596193,0.5791992600422833,0.29374999999999973,0.25055761099365736,0.2709275898520084
K,0.332571353065539,0.5394344608879492,0.2545956659619449,0.24286997885835088,0.5571115221987314,0.24314217758985204,0.2458588794926004,0.5014825581395351,0.2486786469344608,0.5242706131078224,0.1991569767441861,0.19431025369978855,0.19367864693446074
Q,0.30363107822410146,0.2442415433403805,0.4584751585623678,0.20132399577166993,0.4773837209302323,0.18122093023255814,0.1965459830866807,0.48112315010570816,0.1808245243128964,0.4433245243128965,0.1737790697674419,0.14888213530655395,0.14593023255813936
J,0.3174550739957715,0.22003171247357298,0.20259778012684976,0.42459038054968296,0.46635042283298106,0.2654281183932349,0.24736257928118394,0.4290988372093022,0.13610993657505277,0.3916966173361523,0.1512949260042284,0.13559725158562355,0.13356501057082457
T,0.6279783298097253,0.5384778012684989,0.5204941860465117,0.4302510570824525,0.8560306553911208,0.4442521141649048,0.4369793868921776,0.6866543340380548,0.422975687103594,0.6637262156448206,0.4086997885835097,0.3871300211416491,0.3940116279069767
9,0.29072410147991556,0.26826374207188136,0.19640327695560247,0.2740750528541227,0.43255549682875255,0.33620507399577176,0.3394926004228332,0.38782241014799146,0.22195031712473587,0.3417468287526429,0.10243128964059199,0.11084566596194505,0.1041464059196617
8,0.24883985200845657,0.24152484143763212,0.1745058139534882,0.26286733615222,0.3849682875264269,0.33506871035940805,0.3485385835095134,0.38165697674418597,0.32560517970401714,0.3562552854122621,0.20629228329809718,0.08793340380549682,0.1062288583509513
7,0.6329783298097253,0.5336997885835092,0.4414640591966174,0.45525369978858343,0.6807795983086683,0.36856501057082464,0.3815565539112049,0.8450158562367873,0.3489376321353066,0.6468604651162789,0.34247621564482045,0.33976479915433394,0.32408033826638494
6,0.27331395348837195,0.20612843551797033,0.1800475687103592,0.14093023255813952,0.4050475687103595,0.22726479915433412,0.3267019027484143,0.3695269556025369,0.30828752642706136,0.323742071881607,0.31004492600422856,0.20711416490486256,0.07880813953488368
5,0.6087130021141648,0.47695560253699787,0.45639270613107824,0.3589482029598309,0.6913477801268497,0.34335887949260036,0.35341173361522193,0.6141490486257929,0.33475687103594076,0.8225687103594087,0.3303144820295983,0.31010570824524314,0.3077616279069769
4,0.2737341437632135,0.22701638477801264,0.16066860465116276,0.1557848837209301,0.4096088794926004,0.10532505285412258,0.21369450317124733,0.3526849894291755,0.30696353065539145,0.3656897463002114,0.2434275898520083,0.19644820295983093,0.09600422832980972
