,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0.5372515856236784,0.2279651162790698,0.2494133192389005,0.22715909090909087,0.31755549682875267,0.41845401691331874,0.5244371035940806,0.46874999999999994,0.5257848837209302,0.34779862579281184,0.28067389006342486,0.22442389006342492,0.2113927061310784
K,0.2727933403805494,0.4184619450317127,0.19642970401691337,0.19607558139534895,0.30116014799154345,0.3599365750528539,0.42483879492600407,0.41933139534883734,0.3884672304439748,0.31431818181818194,0.22861786469344605,0.1570956659619449,0.17791490486257933
Q,0.25410147991543336,0.17199260042283285,0.39098837209302334,0.14914904862579276,0.2506421775898521,0.34941860465116276,0.3936284355179708,0.3628276955602536,0.33558932346723,0.28035147991543363,0.18453224101479904,0.12811310782241006,0.1142811839323467
J,0.2369529598308667,0.18352272727272706,0.14451902748414375,0.29965380549682846,0.23765063424947155,0.32966173361522216,0.3229201902748414,0.30558403805496825,0.32251585623678636,0.26243921775898493,0.18086152219873144,0.09902748414376317,0.10696088794925995
T,0.32340644820295983,0.28481236786469355,0.25309196617336155,0.23133456659619447,0.381522198731501,0.874302325581396,0.4187975687103595,0.42019291754756877,0.4005311839323469,0.2989376321353065,0.27610200845665955,0.18955338266384783,0.2005153276955603
9,0.40872621564482003,0.3736020084566596,0.366696617336152,0.34597251585623673,0.8744212473572941,0.46852801268498967,0.4698176532769556,0.4917204016913319,0.4654598308668076,0.8224339323467234,0.28419926004228324,0.3108879492600421,0.2872410147991544
8,0.49818974630021173,0.4493683932346723,0.38109936575052833,0.3408007399577167,0.4411601479915438,0.4853541226215647,0.7595665961945026,0.557716701902748,0.5588847780126844,0.43081395348837176,0.32910147991543326,0.28919926004228336,0.2841596194503171
7,0.513290169133192,0.4298942917547569,0.3923097251585624,0.31129756871035935,0.3929519027484145,0.468850422832981,0.5880708245243124,0.7339772727272724,0.523218816067653,0.42548097251585604,0.3227536997885835,0.2680021141649048,0.2909963002114164
6,0.4525634249471458,0.4020084566596196,0.3574339323467229,0.3372859408033826,0.393128964059197,0.4696220930232559,0.5506025369978857,0.5446775898520084,0.7253673361522194,0.39045718816067626,0.3176559196617336,0.24632399577167027,0.2211971458773785
5,0.376213002114165,0.32542811839323477,0.2762077167019029,0.27547568710359405,0.2880576109936575,0.8119688160676529,0.4439640591966172,0.40734936575052855,0.4131051797040168,0.3724550739957714,0.7331501057082452,0.24567653276955617,0.24158562367864694
4,0.280266913319239,0.2703646934460888,0.183276955602537,0.18025634249471456,0.27168604651162803,0.2880021141649047,0.3392494714587736,0.3264561310782241,0.3235597251585623,0.7440301268498939,0.295887949260042,0.15184196617336151,0.1416041226215645
3,0.20901691331923877,0.15262156448202954,0.12718287526427052,0.11053382663847774,0.19469608879492614,0.2915803382663848,0.29268763213530635,0.25499471458773776,0.25519820295983087,0.228816067653277,0.1419212473572938,0.20514270613107832,0.0656025369978858
2,0.19837209302325579,0.16008192389006337,0.1368816067653276,0.103549154334038,0.20098837209302334,0.29394820295983076,0.28605179704016925,0.2589349894291754,0.2548467230443974,0.24157505285412262,0.12941331923890062,0.06015327695560249,0.207505285412262
