,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0.9075581395348832,0.8610544397463002,0.7074445031712473,0.6733007399577169,0.6751506342494717,0.65649577167019,0.679344608879493,0.6273705073995773,0.672087737843552,0.6531395348837217,0.8058588794925998,0.6756368921775898,0.6677748414376314
K,0.864904862579281,0.8967732558139541,0.6197595137420724,0.5912288583509512,0.6144371035940803,0.569154334038055,0.5691464059196616,0.5659460887949255,0.6064376321353067,0.5955126849894292,0.7703779069767438,0.581688689217759,0.6010623678646936
Q,0.6819793868921775,0.6270586680761097,0.550214059196618,0.3551215644820294,0.3629862579281181,0.27137684989429184,0.2562024312896407,0.27079809725158543,0.2543763213530655,0.26505285412262153,0.5320269556025372,0.29153805496828744,0.2927352008456658
J,0.7044318181818183,0.6260993657505286,0.3758403805496829,0.49995771670190264,0.3345560253699788,0.20827431289640594,0.17880813953488361,0.20194503171247352,0.2217151162790696,0.20278541226215638,0.4403646934460888,0.1957135306553911,0.20630285412262148
T,0.6773599365750529,0.5945163847780127,0.3596353065539113,0.34183403805496837,0.45348572938689224,0.17331659619450313,0.17072145877378425,0.15581395348837204,0.14426532769556025,0.1682928118393235,0.40271934460887965,0.17306818181818187,0.16774841437632126
9,0.6475924947145874,0.5971590909090909,0.25067389006342494,0.19970401691331896,0.17839323467230436,0.4111363636363637,0.13531183932346702,0.1150105708245243,0.11835887949260038,0.13663583509513744,0.3733535940803383,0.13194503171247352,0.14319503171247347
8,0.670658033826638,0.598060253699789,0.29591966173361517,0.20253171247357282,0.1430919661733615,0.13624735729386883,0.42016913319238897,0.12363372093023245,0.10966173361522195,0.12639534883720926,0.3571300211416492,0.11427854122621557,0.1164825581395347
7,0.6891516913319238,0.5693921775898518,0.2541094080338264,0.22243128964059186,0.16366014799154324,0.120240486257928,0.12128964059196613,0.36431025369978876,0.11367071881606776,0.12701638477801258,0.344685517970402,0.1065803382663848,0.1061072938689218
6,0.6641279069767443,0.5814112050739955,0.23308403805496833,0.18766120507399575,0.1378911205073995,0.11207188160676525,0.11903541226215644,0.12251321353065539,0.33939217758985224,0.12339323467230436,0.3816146934460889,0.09421775898520085,0.09274577167019026
5,0.6790116279069772,0.6105919661733615,0.28871035940803363,0.1962684989429175,0.17654862579281183,0.13704545454545453,0.12145877378435527,0.13340116279069764,0.11554175475687088,0.35293076109936566,0.3802378435517973,0.22735729386892153,0.21596723044397456
4,0.805166490486258,0.721836680761099,0.49997621564482053,0.43985465116279066,0.39166226215644817,0.3625581395348838,0.3709593023255816,0.3657399577167022,0.33459566596194534,0.38023520084566603,0.8738107822410154,0.370200845665962,0.37081923890063456
3,0.6859936575052856,0.5841543340380551,0.28243921775898523,0.18536205073995773,0.1349392177589853,0.11007135306553906,0.11831395348837209,0.1116358350951374,0.10195031712473573,0.22465644820295957,0.3529413319238901,0.2871590909090912,0.22083773784355187
2,0.6501823467230444,0.6127431289640589,0.26317917547568687,0.2286839323467231,0.16118393234672296,0.11778541226215636,0.1075184989429175,0.09736522198731495,0.09066067653276955,0.209320824524313,0.330983086680761,0.19965380549682876,0.2924497885835097
