,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0.6715433403805495,0.6608350951374203,0.28167019027484125,0.29631606765327695,0.27448467230443974,0.6326823467230446,0.262936046511628,0.2653197674418606,0.27297832980972525,0.2881976744186047,0.256482558139535,0.2729941860465116,0.612959830866808
K,0.6797621564482028,0.8752272727272721,0.5827087737843553,0.5834355179704018,0.606701902748414,0.8021485200845667,0.5621247357293867,0.5390776955602533,0.5249577167019027,0.5506421775898517,0.569978858350951,0.5807399577167015,0.7578461945031709
Q,0.31368921775898506,0.6180470401691333,0.5110306553911208,0.3620639534883724,0.3286020084566596,0.4831527484143765,0.19813953488372082,0.1957610993657505,0.2063953488372093,0.21716701902748414,0.20704545454545456,0.21264270613107816,0.456545983086681
J,0.2863742071881607,0.601458773784355,0.30576902748414375,0.45374471458773796,0.2972278012684989,0.4933350951374208,0.17659355179703998,0.18710623678646926,0.1530179704016913,0.14907505285412248,0.1682663847780127,0.14855972515856228,0.4089904862579281
T,0.29832188160676526,0.5973070824524315,0.3201744186046511,0.2937552854122622,0.3996485200845667,0.4601585623678649,0.1650264270613107,0.14544661733615222,0.13942124735729375,0.12720665961945024,0.12961945031712452,0.12244186046511617,0.37182346723044385
9,0.6346485200845666,0.7667732558139533,0.5320798097251588,0.49617336152219893,0.4395137420718818,0.8582795983086683,0.4036786469344608,0.40636892177589845,0.4039984143763215,0.3841754756871037,0.37733086680761097,0.3731474630021145,0.6597912262156449
8,0.24866014799154323,0.5656448202959831,0.22021670190274834,0.18850158562367864,0.14939482029598306,0.3815882663847784,0.3317653276955605,0.12195031712473564,0.1079994714587738,0.09550211416490488,0.08331131078224098,0.08961680761099362,0.33128964059196647
7,0.2584170190274842,0.5564032769556025,0.20521934460887936,0.14910147991543335,0.1466701902748414,0.3983192389006343,0.12495243128964052,0.3172145877378437,0.08621564482029596,0.0786020084566596,0.07776691331923898,0.07838002114164912,0.3176876321353069
6,0.2620903805496828,0.5064217758985198,0.21565274841437637,0.1523493657505285,0.1269133192389006,0.39177589852008443,0.12655391120507395,0.09907241014799156,0.2836680761099367,0.09490486257928125,0.07655655391120504,0.08313689217758981,0.33169926004228356
5,0.27151955602537003,0.5921035940803381,0.19019556025369966,0.15633456659619444,0.11044133192389005,0.4454439746300216,0.09752642706131073,0.08175211416490483,0.09211945031712471,0.3140354122621566,0.09238107822410146,0.08932875264270614,0.29740486257928156
4,0.25755813953488366,0.5726321353065535,0.19459302325581393,0.14682082452431275,0.11066067653276948,0.41607822410147977,0.09200317124735725,0.08349101479915434,0.08138742071881605,0.09838002114164902,0.28991807610993675,0.08608879492600419,0.32509249471458823
3,0.28540961945031745,0.5032188160676526,0.22288583509513732,0.12973837209302314,0.12721458773784353,0.4117362579281184,0.09343816067653274,0.078173890063425,0.07774577167019027,0.08036733615221989,0.09220401691331917,0.28383720930232564,0.31509513742071926
2,0.581213002114165,0.7244952431289639,0.47295983086680743,0.42118393234672313,0.39216173361522194,0.6509275898520086,0.32815274841437636,0.3423361522198735,0.3253646934460891,0.334119978858351,0.2753594080338269,0.3243102536997888,0.8663213530655396
