,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0.6842389006342495,0.7554016913319239,0.3727748414376321,0.3045877378435518,0.33693974630021145,0.6936099365750529,0.27812367864693444,0.28448202959830865,0.2534936575052854,0.24039112050739958,0.27943446088794927,0.2439059196617336,0.4708509513742072
K,0.7503805496828753,0.8961099365750529,0.6468393234672304,0.5883562367864693,0.5727536997885835,0.8517019027484143,0.6172410147991543,0.5754915433403806,0.5772357293868922,0.5984830866807611,0.6074154334038055,0.6217124735729387,0.7086945031712473
Q,0.3021828752642706,0.6430021141649048,0.5488530655391121,0.3209302325581395,0.3093974630021142,0.5269133192389006,0.21139006342494715,0.18454545454545454,0.21644291754756873,0.19486786469344608,0.19906976744186047,0.15203488372093024,0.41595665961945033
J,0.2872040169133192,0.5685306553911205,0.32038054968287527,0.556353065539112,0.32549154334038055,0.5150475687103594,0.19508456659619453,0.18151162790697675,0.13038054968287527,0.17456659619450318,0.1476955602536998,0.1813002114164905,0.36236786469344606
T,0.29135306553911205,0.6733086680761099,0.32469873150105705,0.3142071881606765,0.5693974630021141,0.5142441860465117,0.2032135306553911,0.16309196617336152,0.17417547568710356,0.15793340380549684,0.15228329809725158,0.15711945031712474,0.3725739957716702
9,0.7082399577167018,0.8508350951374207,0.5674048625792811,0.5511997885835096,0.4863107822410148,0.8108509513742073,0.5452325581395349,0.47159619450317125,0.4934619450317125,0.5451744186046512,0.4726532769556025,0.49474101479915433,0.7020507399577167
8,0.32067124735729385,0.638715644820296,0.2058403805496829,0.2154862579281184,0.1784830866807611,0.49260570824524313,0.4494133192389006,0.18811310782241017,0.18841437632135308,0.1493076109936575,0.10960887949260043,0.09949788583509514,0.3630602536997886
7,0.2952536997885835,0.5911363636363637,0.19710359408033828,0.1747938689217759,0.18258456659619451,0.49029598308668076,0.1998942917547569,0.39524841437632136,0.15715644820295982,0.11862050739957716,0.12439217758985201,0.10049682875264271,0.3195877378435518
6,0.28869450317124734,0.5922727272727273,0.21318181818181817,0.1650581395348837,0.17346194503171247,0.5286627906976744,0.17325581395348838,0.14697145877378437,0.4342970401691332,0.13862050739957715,0.11117336152219874,0.11800739957716702,0.3568710359408034
5,0.2550951374207188,0.6090961945031712,0.17650634249471459,0.15474101479915434,0.13313953488372093,0.5202484143763213,0.1511892177589852,0.11743657505285413,0.13528541226215643,0.3771670190274841,0.11297040169133192,0.11389534883720931,0.31782241014799156
4,0.196654334038055,0.5618446088794926,0.2011522198731501,0.13079281183932345,0.15878964059196618,0.4751109936575053,0.14323467230443973,0.09689746300211416,0.13054968287526425,0.10485729386892179,0.3623837209302326,0.10190274841437633,0.34756871035940806
3,0.22832980972515857,0.6175052854122621,0.16301268498942917,0.12640591966173362,0.13543868921775898,0.4683403805496829,0.12241543340380551,0.12549154334038057,0.11532241014799155,0.11099894291754757,0.11246828752642707,0.33359936575052856,0.29929175475687103
